1651565347525,matters,"<div class=""trans""><span class=""trans_title"">google</span><div class=""trans_content"">真正重要的是他們的經驗。</div><span class=""trans_title"">youdaotrans</span><div class=""trans_content"">真正重要的是他们的经验。</div><span class=""trans_title"">baidu</span><div class=""trans_content"">真正重要的是他們的經歷。</div></div>",What really matters is their experience.,What really {{c1::matters}} is their experience.,,AI多益，Santa(升答),https://aitutor.riiid.co/learning-cell?cellId=9728670,https://aitutor.riiid.co/favicon-white.ico,,基本單字
1651565331644,floors,"<div class=""trans""><span class=""trans_title"">google</span><div class=""trans_content"">下層的公寓暴露於更多的交通噪音。</div><span class=""trans_title"">youdaotrans</span><div class=""trans_content"">公寓在较低楼层接触</div><span class=""trans_title"">baidu</span><div class=""trans_content"">較低樓層的公寓暴露在更多的交通譟音中。</div></div>",The apartments on the lower floors are exposed to more traffic noise.,The apartments on the lower {{c1::floors}} are exposed to more traffic noise.,,AI多益，Santa(升答),https://aitutor.riiid.co/learning-cell?cellId=9728670,https://aitutor.riiid.co/favicon-white.ico,,基本單字
1651565316845,limited,"<div class=""trans""><span class=""trans_title"">google</span><div class=""trans_content"">研討會僅限於30名參與者。</div><span class=""trans_title"">youdaotrans</span><div class=""trans_content"">研讨会参与者仅限于30。</div><span class=""trans_title"">baidu</span><div class=""trans_content"">研討會限30人參加。</div></div>",The workshop is limited to 30 participants.,The workshop is {{c1::limited}} to 30 participants.,,AI多益，Santa(升答),https://aitutor.riiid.co/learning-cell?cellId=9728670,https://aitutor.riiid.co/favicon-white.ico,,基本單字
1651565285944,taste,"<div class=""trans""><span class=""trans_title"">google</span><div class=""trans_content"">我們保證飲用水的口味和質量。</div><span class=""trans_title"">youdaotrans</span><div class=""trans_content"">我们保证喝窟的品味和质量</div><span class=""trans_title"">baidu</span><div class=""trans_content"">我們保證飲用水的味道和質量。</div></div>",We guarantee the taste and quality of drinking water.,We guarantee the {{c1::taste}} and quality of drinking water.,,AI多益，Santa(升答),https://aitutor.riiid.co/learning-cell?cellId=9728670,https://aitutor.riiid.co/favicon-white.ico,,基本單字
1651565270730,anticipate,"<div class=""trans""><span class=""trans_title"">google</span><div class=""trans_content"">我們預計銷售將在明年上升。</div><span class=""trans_title"">youdaotrans</span><div class=""trans_content"">我们预计,明年销量将会上升。</div><span class=""trans_title"">baidu</span><div class=""trans_content"">我們預計明年的銷售額會上升。</div></div>",We anticipate that sales will rise next year.,We {{c1::anticipate}} that sales will rise next year.,,AI多益，Santa(升答),https://aitutor.riiid.co/learning-cell?cellId=9728670,https://aitutor.riiid.co/favicon-white.ico,,基本單字
1651565245367,routes,"<div class=""trans""><span class=""trans_title"">google</span><div class=""trans_content"">建議駕駛員尋求替代路線。</div><span class=""trans_title"">youdaotrans</span><div class=""trans_content"">司机建议寻求替代路线。</div><span class=""trans_title"">baidu</span><div class=""trans_content"">司機應選擇其他路線。</div></div>",Drivers are advised to seek alternative routes.,Drivers are advised to seek alternative {{c1::routes}}.,,AI多益，Santa(升答),https://aitutor.riiid.co/learning-cell?cellId=9728670,https://aitutor.riiid.co/favicon-white.ico,,基本單字
1651565230765,instantly,"<div class=""trans""><span class=""trans_title"">google</span><div class=""trans_content"">徽標應立即識別。</div><span class=""trans_title"">youdaotrans</span><div class=""trans_content"">一个标志应该一眼就能认出来。</div><span class=""trans_title"">baidu</span><div class=""trans_content"">一個標誌應該是可以立即識別的。</div></div>",A logo should be instantly recognizable.,A logo should be {{c1::instantly}} recognizable.,,AI多益，Santa(升答),https://aitutor.riiid.co/learning-cell?cellId=9728670,https://aitutor.riiid.co/favicon-white.ico,,基本單字
1651565208100,expensive,"<div class=""trans""><span class=""trans_title"">google</span><div class=""trans_content"">現場表演在許多方面都很昂貴。</div><span class=""trans_title"">youdaotrans</span><div class=""trans_content"">现场演出是昂贵的在很多方面。</div><span class=""trans_title"">baidu</span><div class=""trans_content"">現場表演在很多方面都很昂貴。</div></div>",Live performances are expensive in many ways.,Live performances are {{c1::expensive}} in many ways.,,AI多益，Santa(升答),https://aitutor.riiid.co/learning-cell?cellId=9728670,https://aitutor.riiid.co/favicon-white.ico,,基本單字
1651565190575,open,"<div class=""trans""><span class=""trans_title"">google</span><div class=""trans_content"">燈塔結構仍然向公眾開放。</div><span class=""trans_title"">youdaotrans</span><div class=""trans_content"">灯塔publi结构保持开放</div><span class=""trans_title"">baidu</span><div class=""trans_content"">燈塔結構仍對公眾開放。</div></div>",The lighthouse structure remains open to the public.,The lighthouse structure remains {{c1::open}} to the public.,,AI多益，Santa(升答),https://aitutor.riiid.co/learning-cell?cellId=9728670,https://aitutor.riiid.co/favicon-white.ico,,基本單字
1651563662087,improvement,"<div class=""trans""><span class=""trans_title"">google</span><div class=""trans_content"">必須有很多改進的空間。</div><span class=""trans_title"">youdaotrans</span><div class=""trans_content"">一定有很多改进的余地。</div><span class=""trans_title"">baidu</span><div class=""trans_content"">必須有很大的改進餘地。</div></div>",There must be room for much improvement.,There must be room for much {{c1::improvement}}.,,AI多益，Santa(升答),https://aitutor.riiid.co/learning-cell?cellId=9728670,https://aitutor.riiid.co/favicon-white.ico,,基本單字
