"strictly","Checkout time is also strictly enforced as we have a high volume of guests during the holiday season.","[:: google ::]<br>由於假期期間我們有大量客人，還嚴格執行了結帳時間。<br><br>[:: youdaotrans ::]<br>退房时间是我们也严格执行<br><br>[:: baidu ::]<br>結帳時間也嚴格執行，因為我們在假日期間有大量客人。<br><br>[:: answer ::]<br>因為休假期間訪客人數多，所以退房時間也要嚴格管理。<br>---------------<br>","Checkout time is also ________ enforced as we have a high volume of guests during the holiday season.","","AI多益，Santa(升答)","https://ai.aitutorsanta.com/learning-cell?cellId=10234073","https://ai.aitutorsanta.com/favicon-white.ico","2022/5/17",
"seemingly","The investors have several concerns about the cell phone’s seemingly fragile outer casing.","[:: google ::]<br>投資者對手機看似脆弱的外殼有一些擔憂。<br><br>[:: youdaotrans ::]<br>投资者有几个细胞的担忧<br><br>[:: baidu ::]<br>投資者對這款手機看似脆弱的外殼有幾點擔憂。<br><br>[:: answer ::]<br>投資者們對外表看起來脆弱的手機感到些許擔憂。<br>---------------<br>","The investors have several concerns about the cell phone’s _________ fragile outer casing.","","AI多益，Santa(升答)","https://ai.aitutorsanta.com/learning-cell?cellId=10234073","https://ai.aitutorsanta.com/favicon-white.ico","2022/5/17",
"moderately","Our new line of men’s skin care products has performed moderately well since its release last fall.","[:: google ::]<br>自去年秋天發行以來，我們的新男士護膚產品系列表現良好。<br><br>[:: youdaotrans ::]<br>我们的新男性的皮肤护理产品的性能<br><br>[:: baidu ::]<br>自去年秋天發佈以來，我們的新系列男士護膚品表現良好。<br><br>[:: answer ::]<br>我們全新的男性皮膚護理產品自秋天上市後有非常適宜的表現。<br>---------------<br>","Our new line of men’s skin care products has performed __________ well since its release last fall.","","AI多益，Santa(升答)","https://ai.aitutorsanta.com/learning-cell?cellId=10234073","https://ai.aitutorsanta.com/favicon-white.ico","2022/5/17",
"mounted","The clinic’s television is mounted on the wall so that it doesn’t take up any shelf space.","[:: google ::]<br>該診所的電視安裝在牆上，以免佔用任何貨架空間。<br><br>[:: youdaotrans ::]<br>诊所的电视安装在墙上<br><br>[:: baidu ::]<br>診所的電視安裝在牆上，這樣就不會佔用任何貨架空間。<br><br>[:: answer ::]<br>那家診所的電視為了不佔據任何架子的空間，安裝在牆面上。<br>---------------<br>","The clinic’s television is _______ on the wall so that it doesn’t take up any shelf space.","","AI多益，Santa(升答)","https://ai.aitutorsanta.com/learning-cell?cellId=10234073","https://ai.aitutorsanta.com/favicon-white.ico","2022/5/17",
"strive","We strive to make transactions go smoothly for everyone involved.","[:: google ::]<br>我們努力使參與人員的交易順利進行。<br><br>[:: youdaotrans ::]<br>我们努力使交易顺利进行为夏娃<br><br>[:: baidu ::]<br>我們努力使所有相關人員的交易順利進行。<br><br>[:: answer ::]<br>我們努力讓所有相關人士能順利進行交易。<br>---------------<br>","We ______ to make transactions go smoothly for everyone involved.","","AI多益，Santa(升答)","https://ai.aitutorsanta.com/learning-cell?cellId=10234073","https://ai.aitutorsanta.com/favicon-white.ico","2022/5/17",
"sturdy","Durable and sturdy metal designs will look great on any home or office desktop.","[:: google ::]<br>耐用和堅固的金屬設計在任何家庭或辦公室桌面上看起來都很棒。<br><br>[:: youdaotrans ::]<br>耐用和坚固的金属设计看起来会很棒啊<br><br>[:: baidu ::]<br>耐用堅固的金屬設計在任何家庭或辦公室案頭上都會很好看。<br><br>[:: answer ::]<br>耐用且堅固的金屬設計對任何住家或辦公用桌上型電腦來說應該都很適合。<br>---------------<br>","Durable and ______ metal designs will look great on any home or office desktop.","","AI多益，Santa(升答)","https://ai.aitutorsanta.com/learning-cell?cellId=10234073","https://ai.aitutorsanta.com/favicon-white.ico","2022/5/17",
"temporary","The elevator breakdown was only temporary, as the technician arrived and fixed the problem quickly.","[:: google ::]<br>當技術人員到達並迅速解決問題時，電梯的故障只是暫時的。<br><br>[:: youdaotrans ::]<br>电梯故障只是暂时的<br><br>[:: baidu ::]<br>電梯故障只是暫時的，因為科技人員趕到並迅速解决了問題。<br><br>[:: answer ::]<br>因為技術人員抵達迅速修理，電梯故障就只是暫時而已。<br>---------------<br>","The elevator breakdown was only _________, as the technician arrived and fixed the problem quickly.","","AI多益，Santa(升答)","https://ai.aitutorsanta.com/learning-cell?cellId=10234073","https://ai.aitutorsanta.com/favicon-white.ico","2022/5/17",
"tentative","All the game dates on the list are tentative and subject to change based on the weather.","[:: google ::]<br>列表中的所有遊戲日期都是暫定的，並且會根據天氣而變化。<br><br>[:: youdaotrans ::]<br>名单上的所有比赛日期是试探性的和年代<br><br>[:: baidu ::]<br>名單上的所有比賽日期都是暫定的，可能會根據天氣變化而變化。<br><br>[:: answer ::]<br>清單上列舉的所有比賽日期都是暫定，可能會根據天氣變動。<br>---------------<br>","All the game dates on the list are _________ and subject to change based on the weather.","","AI多益，Santa(升答)","https://ai.aitutorsanta.com/learning-cell?cellId=10234073","https://ai.aitutorsanta.com/favicon-white.ico","2022/5/17",
"timely","The purpose of our customer service is to resolve all customer complaints in a timely manner.","[:: google ::]<br>我們客戶服務的目的是及時解決所有客戶投訴。<br><br>[:: youdaotrans ::]<br>我们的客户服务的目的是解决<br><br>[:: baidu ::]<br>我們的客戶服務旨在及時解决所有客戶投訴。<br><br>[:: answer ::]<br>顧客服務的目標就是適時解決顧客的不滿事項。<br>---------------<br>","The purpose of our customer service is to resolve all customer complaints in a ______ manner.","","AI多益，Santa(升答)","https://ai.aitutorsanta.com/learning-cell?cellId=10234073","https://ai.aitutorsanta.com/favicon-white.ico","2022/5/17",
"violate","Any employees found to violate the new dress code will be suspended immediately.","[:: google ::]<br>任何發現違反新著裝要求的員工都將立即被暫停。<br><br>[:: youdaotrans ::]<br>任何员工发现违反新着装<br><br>[:: baidu ::]<br>任何違反新著裝規定的員工將被立即停職。<br><br>[:: answer ::]<br>任何被發現違反新服裝規定的員工將會立即被停職。<br>---------------<br>","Any employees found to _______ the new dress code will be suspended immediately.","","AI多益，Santa(升答)","https://ai.aitutorsanta.com/learning-cell?cellId=10234073","https://ai.aitutorsanta.com/favicon-white.ico","2022/5/17",
